@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute score_en numeric

@data
18.4,5,Thriller,7.7
26,30,Drama,7.1
16.2,20,Drama,7.3
1,1,Documentary,7.8
24.2,7.0952,Drama,7.3
6.6,1,Adventure,6.3
22.4,20,Adventure,6.1
2.8,1,Fantasy,6.5
28,30,Adventure,7.7
15.2,3,Drama,6.3
20,8,Comedy,6.8
12.8,1,Fantasy,7.3
18.4,8,Comedy,6.2
24.2,3,Drama,7.3
22.4,1,Drama,7.2
9.2,1,Drama,7.5
9.2,20,Comedy,7.8
17.8,20,Comedy,7.2
17,20,Comedy,6.9
15,20,Comedy,7.4
10.75,1,Fantasy,6.3
20.4,3,Adventure,6.1
24,20,Adventure,6.2
24,1,Adventure,6.4
18.4,10,Comedy,6.1
14.4,1,Adventure,7.1
12,1,Fantasy,7.5
8.4,3,Drama,7
10.2,1,Action,6.9
10.2,1,Action,6.4
10.2,1,Action,5.7
9.8,30,Comedy,5.1
18.6,1,Drama,7.5
18.2,5,Drama,6.7
8.6,30,Documentary,8
9,5,Comedy,6.9
1,10,Drama,6.3
10.5,3,Adventure,7.7
5,3,Adventure,5.1
5,1,Drama,6.6
5.4,1,Adventure,3.7
3.4,1,Drama,5.7
8.2,1,Action,6
9.2,3,Adventure,6.6
22,1,Adventure,5.1
14.2,3,Adventure,8.1
24,5,Drama,7.9
24,8,Drama,7.8
18,8,Drama,8.1
3.8,3,Drama,6.7
10.4,1,Comedy,6.4
16.4,3,Fantasy,5.7
36,30,Drama,7.5
28,5,Drama,6.1
12.2,10,Drama,7.2
9.4,10,Comedy,6.6
4.4,1,Fantasy,5.5
10.2,30,Comedy,7.6
15.8,1,Drama,6.4
4.6,8,Comedy,6.3
17,1,Fantasy,6.3
16.2,1,Drama,5.6
10.4,20,Action,6.8
5.8,30,Drama,7
8.4,1,Comedy,6.6
18.2,20,Fantasy,6.2
12.4,1,Action,5.5
14.4,30,Drama,6.9
9,3,Drama,7
22,1,Action,5.5
11.2,1,Drama,6.5
14,1,Drama,7.3
14.4,1,Comedy,6.1
10.6,30,Drama,7.8
14.75,3,Drama,7.1
12.2,5,Horror,7.2
20.4,20,Drama,6.6
3.2,8,Horror,6
4.6,1,Comedy,6.1
14.4,1,'Science Fiction',7.7
1,1,Horror,6.4
20,30,Fantasy,7.4
18.4,1,Drama,7.1
5.75,1,Horror,7.3
14.6,30,Drama,6.7
14.4,5,Fantasy,5.9
15,1,Fantasy,5.4
22.6,3,Action,6.1
1,1,Drama,7.3
12.8,1,Drama,7.2
14.4,30,Adventure,7.6
20.4,1,Drama,7.7
16,20,Fantasy,6.6
5,1,Drama,6.2
2,1,Drama,7.2
12,1,Comedy,6.4
6.5,1,Drama,7.5
14,1,Comedy,5.3
17.8,1,Action,7.1
22,30,Drama,6.6
22.2,1,Action,6.7
26,3,Comedy,5.5
18.6,30,Thriller,7.3
5,1,Adventure,6.8
16.4,1,Comedy,7.7
16.6,1,Adventure,6.6
23.6,1,Drama,5.3
13,20,Fantasy,6.8
22,20,Drama,6.7
8.6,1,Comedy,6.2
14.2,3,Fantasy,5.7
20,1,Comedy,5.3
17.5,1,Comedy,6.7
24.6,1,Drama,7.1
15.2,5,Fantasy,6.5
9.2,30,Comedy,6.1
3,1,Adventure,6.3
7.6,1,Thriller,6.4
2.8,1,Drama,7.1
17,1,Horror,6.8
10.6,30,Drama,7.5
2.8,20,Comedy,8
1.4,3,Drama,7.9
21,20,Drama,6.4
2.8,1,Fantasy,6.5
12.4,1,Comedy,6.9
10.2,3,Fantasy,5.3
6.6,1,Action,5.9
1.2,1,Drama,5.9
1.5,1,Drama,8
1,1,Drama,8.3
1,5,Comedy,7.6
6.6,5,Comedy,8.2
2.8,1,Comedy,7.8
4.8,30,Drama,8.5
5.2,5,Drama,8.2
4.6,10.5,Action,7.8
2.8,20,Adventure,8.3
14.4,1,Thriller,4.2
5.2,1,Adventure,6.9
2.4,1,Adventure,7.2
6.4,1,Drama,7.7
12.4,1,Drama,7.9
26,30,Drama,7.5
22,1,Adventure,5.6
1.4,1,Animation,7.3
27.75,8,Action,6.5
1,30,Drama,8.1
6.4,3,Adventure,7.7
12.4,40,Drama,7.5
12.75,1,Drama,8
14.4,3,Drama,7.3
4,1,Action,7.9
15,5,Thriller,5.9
28.2,1,Animation,7.1
20.25,1,Action,5.4
14.2,3,Drama,5.9
28,3,Drama,6.7
8.5,3,Drama,7.4
5.6,20,Comedy,8.1
18.6,1,Drama,6.6
1,1,Drama,6.6
10.2,3,Drama,7.5
24,10,Comedy,6
18,1,Drama,6.8
14.8,30,Drama,7.8
8.6,5,Drama,5
18.2,1,Drama,6.4
19,20,Action,6.6
15.6,1,Horror,5.6
8.4,1,Horror,4.6
2,1,Horror,5.8
8.8,3,'Science Fiction',6.5
22.4,20,Drama,7
16.2,1,Comedy,6.3
18,1,Drama,5.8
9,30,Drama,7.1
2.8,20,Drama,8.3
11,20,Drama,6.7
16.6,1,Drama,7.2
24,1,Drama,7
16.6,19,Fantasy,7.4
12.2,1,Horror,6
16.2,1,Comedy,6.4
1,20,Adventure,7.2
26,30,Fantasy,7.5
16.4,1,Drama,7.2
22,1,Drama,7.2
9.6,20,Action,6.6
3,8,Adventure,7.7
21.2,20,Action,6.8
24,1,Drama,7.6
17.2,1,Action,6.7
18.2,5,Drama,7.7
26,5,Drama,7.3
1.25,1,Drama,6
14.2,20,Drama,7
6.2,10,Drama,7.6
9.4,20,Drama,7.3
1.2,1,Drama,7.3
8.4,1,Mystery,7.3
7,8,Drama,7
6.8,20,Drama,7.6
12.4,10,Horror,7.2
12,10,Horror,6.1
10.8,10,Horror,5.5
12.6,8,Fantasy,6.1
12.4,5,Comedy,6.2
10.75,5,Comedy,5.3
5.6,1,Drama,7.9
5,1,Drama,8
8.6,1,Comedy,5.5
12.8,1,Comedy,5.1
10.4,3,Comedy,3.5
8.8,3,Drama,6.1
10.8,1,Adventure,4.7
1,1,Action,6
18.2,8,Adventure,5.5
22.6,20,Drama,7.8
18.2,20,Drama,7.8
19,8,Drama,7.1
10.8,3,Comedy,5.5
18.2,3,Drama,6.1
16.2,1,Drama,6.8
26.2,1,Drama,7.5
17.6,20,Drama,5.9
5.6,1,Drama,6.7
12,1,Thriller,6.8
16.4,1,Drama,7.3
16.4,20,Adventure,5.9
20.2,20,Drama,7.3
14,5,Fantasy,5.1
24.4,20,Drama,7.5
24,1,Drama,6.1
20.2,1,Drama,5.8
1,3,Comedy,7.3
1.8,1,Horror,6.5
16.8,1,Drama,7.5
16.2,3,Horror,6.6
26,30,Adventure,6.2
20.4,1,Drama,6.9
23,1,Drama,7.5
12.4,20,Drama,6.5
20,3,Fantasy,7.1
22,20,Adventure,7.2
24.2,30,Drama,6.8
5.75,20,Drama,7.6
18.2,30,Comedy,5.7
12.6,1,Drama,7.7
10,1,Drama,5.5
16.6,20,Drama,7.3
22,1,Drama,7.7
12.6,1,Drama,6.6
10.6,8,Drama,5.7
12.4,20,Drama,6
24.2,1,Drama,6.4
12.8,1,Drama,6.6
18,20,Action,7.9
4.6,1,Drama,6.5
14.8,1,Action,6.9
1,1,Drama,6.5
6.8,20,Drama,7.7
15.25,1,Horror,5.9
26,1,Adventure,5.5
1.2,1,Drama,7.3
25,40,Drama,7.7
14.8,20,Comedy,5.5
16,8,Comedy,8
20.2,3,Drama,5.8
20.4,1,Adventure,6.3
23.6,30,Drama,7.4
20.2,4.5,Thriller,5.9
18.2,1,Drama,6.6
22,40,Drama,7.1
11.8,20,Drama,5.5
28.4,30,Fantasy,7.8
6.8,3,Adventure,6.1
1,1,Drama,6.8
7.4,1,Western,7
3,30,Adventure,8.2
18.2,40,Drama,6
26,25,Drama,7
13.4,20,Drama,7.2
26.2,30,Fantasy,6.7
17.6,20,Drama,6.5
10.8,20,Fantasy,5.9
22,20,Drama,7
18.2,40,Comedy,6.4
23.6,1,Horror,5.8
10.8,1,Animation,7.7
2.4,1,Adventure,6.9
25,20,Drama,7.8
5.8,1,Drama,7.1
23,3,Drama,7.9
16,3,Drama,6.6
1,1,Drama,7.9
14.4,1,Drama,7.3
24.2,20,Drama,7.1
1.2,1,Fantasy,6.9
1.6,1,Comedy,4.8
3.6,30,Drama,6.8
20,1,Drama,7.5
14.6,20,Drama,6.8
21.6,1,Adventure,6.1
18,20,Drama,8
1,1,Drama,8.3
14.4,1,Adventure,6.3
20.2,10,Action,6.2
20.2,10,Action,6.6
17,30,Western,7.7
5.2,5,Adventure,7.2
18.2,5,Drama,5.7
5.8,1,Drama,3.6
16.4,10,Action,7.6
6,1,Drama,4.9
12,20,Adventure,6.6
11.6,5,Drama,7.3
19.8,1,Drama,6.5
4.8,1,Drama,6.9
21,1,Drama,5.6
6.8,1,Fantasy,4.5
8.6,1,Adventure,4
9.75,1,Adventure,5.9
2.8,20,Drama,7.1
20.2,1,'Science Fiction',2.4
22,1,Adventure,7.8
2.8,3,Drama,8.1
4.4,1,Drama,5.9
8.8,20,Action,7.5
4.6,1,Adventure,5.7
2.2,3,Adventure,3.9
20,30,Adventure,6.4
12.4,1,Adventure,6.1
2.8,1,Drama,5.5
1.2,1,Fantasy,6.4
1.8,30,Adventure,7
4.8,3,Adventure,5.7
9,1,Drama,7.6
10.2,1,Drama,7.7
8.8,1,Drama,6.7
1,1,Drama,5.8
1,1,Drama,6.2
1.8,1,Drama,7.9
1,1,Comedy,6.1
2,1,Adventure,6.7
6.2,10,Thriller,6.7
1.2,3,Drama,8.4
16.4,20,Action,6.1
1.6667,1,Drama,5.5
18,1,Comedy,7.6
17.8,1,Action,5.5
12.6,1,Drama,5.6
1,1,?,5.2
3.6,10,Comedy,6.8
7,1,Horror,3.6
20,20,Horror,7.2
9.75,1,Comedy,6.7
6.8,3,Drama,2.8
12.8,20,Drama,7.4
14.2,20,Adventure,8.1
6.5,1,Action,7.5
14.2,1,Action,6.9
10.6,3,Adventure,7.7
8.8,1,Drama,8
13,1,Adventure,8.2
22,20,Drama,6.8
10.4,1,Drama,5.9
1,20,Fantasy,8.1
26,8,Comedy,5.9
16.2,10,Fantasy,6.7
4.6,1,Drama,7.6
22.4,3,Drama,7.1
7.4,8,Thriller,6.2
22.2,1,Adventure,6.2
21,5,Adventure,5.8
18.4,20,Fantasy,6.5
9.4,1,Drama,6.7
28,20,Action,6.1
14.2,3,Drama,7.9
8.4,30,Drama,6.6
6.6,1,Action,6.7
30,20,Horror,7.5
1,1,Adventure,3.4
28,1,Thriller,7.2
24,30,Drama,5.5
22,20,Adventure,6.2
11.4,10,Comedy,5.4
21.2,5,Comedy,4.6
8.5,1,Comedy,5.6
3.4,20,Comedy,6.4
14.8,1,Adventure,7.1
5.8,10,Drama,6.3
10.8,30,Drama,6
13.2,1,Drama,7.5
26.2,1,Adventure,7.1
18,1,Fantasy,6.2
12.8,1,Comedy,5.2
4.8,20,Comedy,7.2
15,1,Fantasy,5.2
18.2,5,Drama,7.2
5.8,20,Horror,6.4
3.2,1,Adventure,3.4
11.2,5,Adventure,5.1
12.4,1,Adventure,5.9
8.4,1,Comedy,6.7
20,1,Drama,7.4
6.75,1,Drama,7.5
26.4,3,Drama,7.1
14.2,1,Horror,6.2
18.4,1,Comedy,6.1
12.8,1,Comedy,6.7
10.8,1,Drama,7.4
5,5,Drama,7.7
26,8,Adventure,6.5
8.6,20,Drama,6.4
10.2,1,Action,7.6
22,1,Thriller,6.7
6.25,1,Drama,7
18.2,20,Adventure,6.1
8.6,1,Drama,7.9
24,1,Comedy,5.6
8.6,1,Action,7.5
24,30,Drama,6.5
28,20,Drama,6.6
10.6,1,Action,6
20.4,20,Comedy,7.1
16.2,1,Comedy,6.1
16.8,20,Drama,6.6
20,1,Drama,6.7
24,20,Drama,6.6
32,3,Drama,7.2
28,25,Drama,8.1
8.8,5,Adventure,7.3
12.8,5,Drama,6.2
4.4,2,Drama,5.9
10.6,1,Horror,5.9
14.8,20,Drama,5.8
22.2,10,Adventure,6
20,30,Drama,5.7
12,3,Action,7
14.6,1,Drama,6.8
14.6,1,Drama,7.2
15,1,Drama,6.5
7.6,1,Adventure,5.6
7.6,1,Comedy,5.1
12.2,20,Drama,7.3
2.4,1,Comedy,6.1
16.2,30,Action,5.9
14.4,1,Action,7.5
19.2,1,Comedy,6.5
22.6,1,Drama,5.1
19,1,Drama,7.4
7.6,20,Adventure,7.1
20,1,Drama,7.5
5.4,3,Horror,7.4
3.2,1,Horror,4.6
2.4,1,Drama,7.3
8.8,3,Drama,8.1
16.6,3,Drama,7.4
5.2,1,Drama,7.1
26,1,Adventure,6
7.2,1,Drama,6.2
14.6,1,Animation,7
22.8,3,Drama,7.1
20,30,Action,7
18.4,1,Adventure,6.6
26.2,30,Adventure,5.8
22,20,Adventure,6.8
16.4,5,Drama,6.9
16.2,15,Action,6
22,1,Drama,6.6
18,1.6667,Adventure,6.2
22.2,20,Drama,7.2
30,10.5,Thriller,6.1
2.8,1,Drama,7.8
3,20,Drama,8.5
1.25,1,Drama,7.8
13.4,20,Drama,6.2
11.8,3,Adventure,6.6
10.6,1,Action,6.7
18.4,1,Animation,6.8
16.8,1,Drama,5.8
5.75,1,Drama,7.7
16.2,8,Action,7
20.6,1,Comedy,6.1
18.2,3,Comedy,6.8
14.8,40,Action,7.1
6.4,1,Drama,7.6
24,20,Horror,6.3
8.4,20,Adventure,5.1
9.2,1,Drama,7.2
16.4,1,Drama,6.4
9,20,Drama,6.9
2.8,1,Drama,8.3
14.4,20,Comedy,6.6
17.2,20,Drama,7.3
2.4,20,Drama,7.6
28,20,Fantasy,6.7
8.4,3,Drama,8.1
10.2,20,Comedy,6.7
15.5,1,Drama,6.4
12.8,20,Adventure,7.2
18,20,Fantasy,4.1
9.8,1,Fantasy,4.3
24,20,Comedy,6.9
14.6,1,Drama,2.4
20,3,Drama,7.3
20.2,3,Drama,7.3
18.2,30,Adventure,7.4
28,20,Adventure,6.8
18.2,1,Drama,7.6
12.6,3,Drama,6.8
26,20,Drama,6.9
22.2,20,Action,7.2
5.6,1,'Science Fiction',5.9
2.4,20,Drama,7.9
15.6,30,Horror,6.4
24,3,Horror,6.3
8.6,1,Drama,6.7
14.2,1,Thriller,5.9
7.6,1,Drama,6.2
20.4,1,Drama,7.3
1,20,Drama,7.8
12.8,4,Drama,7
11.2,1,Drama,5.9
15.6,1,Comedy,6.5
2.25,1,Comedy,6.9
28.2,3,Drama,7
22,3,Adventure,7.3
16.8,30,Drama,6.6
10.6,1,Drama,7.1
14.8,1,Action,5.5
12.2,5,Adventure,6.6
2.8,20,Drama,7.2
1.2,20,Drama,7.2
14.8,1,Thriller,6.5
20,5,Adventure,6.1
1.6,3,Comedy,7.1
22,20,Drama,7.1
19.2,5,Drama,6.9
12,1,Comedy,6.3
10.8,1,Drama,6.9
24,20,Action,4.8
6.4,20,Drama,6.8
2.4,1,Drama,5.9
20.2,1,Action,6.9
22.2,1,Drama,7.5
26.2,8,Drama,7.9
7,3,Drama,6.2
3,1,Horror,7.5
10,5,Horror,7.3
24,1,Drama,6.6
3,3,Drama,6.6
12.6,1,Adventure,7.1
13.2,8,Adventure,6.4
16,20,Adventure,7
1.8,8,Documentary,5.3
12.4,20,Adventure,7.7
17,1,Comedy,7.6
28,1,Adventure,6.9
22.4,30,Adventure,6
14.4,5,Action,7.9
2.8,1,Comedy,6.3
28,5,Comedy,7.2
10.4,8,Horror,5.6
1.25,8,Horror,7.2
15.6,30,Drama,6.1
14.4,20,Horror,6.7
18.2,3,Adventure,5.4
7.2,1,Drama,7.2
22,1,Drama,7.3
1,1,Documentary,7.9
19,1,Action,5.9
3,3,Drama,7.2
12.4,1,Drama,6.6
14.6,1,Horror,6.5
10.5,1,Drama,7.7
15.8,1,Comedy,7.3
4.4,5,Comedy,7.6
12.4,5,Drama,7.1
21.6,20,Adventure,4.8
20.2,1,Drama,6.6
19.2,5,Drama,6.8
2.6,1,Comedy,6.4
16.2,10,Drama,6.7
10.6,1,Adventure,6.8
20.2,1,Adventure,6.6
21,1,Animation,8.5
13.2,30,Adventure,6.1
8.6,1,Horror,3.9
9.2,3,Drama,6.9
16.2,1,Adventure,7.4
14.6,20,Drama,6.7
22.2,30,Thriller,5
1.8,3,Drama,7.1
20,3,Drama,6.1
18.2,3,Drama,6.7
20,1,Adventure,5.7
20.6,1,Action,7.8
16.8,3,Crime,5.9
9,5,Comedy,6.9
12.2,1,Fantasy,5.8
20.2,20,Comedy,7.2
6.6,1,Action,6.7
20,20,Drama,7.6
11.5,1,Comedy,7.2
8.2,5,Horror,6.6
18,1,Comedy,6
10.4,20,Adventure,7.6
20.4,1,Adventure,5.2
12.4,1,Drama,6.3
10.8,1,Action,5.8
1,1,Drama,7.3
20.4,8,Drama,6.7
17.6,3,Comedy,6.2
19,1,Drama,5.9
13.75,5,Fantasy,6
10.6,30,Fantasy,6.4
2,1,Drama,7.5
14.2,10,Drama,5.3
13.8,1,Horror,6.3
18.2,20,Adventure,6.9
18.4,1,Action,6.4
15.2,1,Drama,7.3
12.8,1,Comedy,6.2
17.6,20,Adventure,6
2.8,5,Horror,6.7
3,1,Adventure,2.8
3.8,5,Adventure,5.9
17.2,1,Comedy,5.5
10.5,1,Adventure,5.5
14,1,Action,5.7
12.2,20,Fantasy,6
18.4,1,Comedy,7
12.6,8,Comedy,6.1
22.2,1,Comedy,6.3
10,30,Western,7.3
1,1,Animation,8
10.2,1,Drama,6.3
4.4,1,Drama,7.1
32,1,Action,6.7
1,1,Drama,6.6
17,20,Action,5.8
18.2,1,Adventure,5.8
22,3,Adventure,6.6
12.6,1,Animation,5
6.2,1,Horror,6.1
14.6,1,Drama,7.5
28,8,Drama,5.7
19,1,Drama,6.6
28.2,8,Fantasy,6.4
14.6,8,Drama,7.3
20.6,8,Adventure,5.2
16.4,20,Fantasy,6.8
6.2,1,Drama,4.1
10.2,1,Comedy,5.3
1.4,1,Horror,7.1
10,1,Adventure,4.7
21,5,Comedy,6.6
18.6,8,Thriller,6.3
8.8,1,Drama,7.1
12.2,8,Drama,6
14.2,1,Comedy,5.5
19.6,1,Drama,6.5
6.8,1,Fantasy,5.9
18.2,1,Drama,5.9
20.6,1,Drama,6.6
3,1,Horror,7
14.4,5,Fantasy,6.7
18,5,Drama,7.9
20,1,Drama,5.6
6.6,1,Comedy,6.6
15.2,1,Adventure,7.6
12.8,20,Adventure,7.1
7.4,1,Fantasy,5.6
10.8,2,Adventure,7.1
6.2,20,Comedy,6.1
22,1,Comedy,6.1
10.2,1,Drama,5.4
15.6,10,Drama,6.4
14.4,20,Adventure,7.3
7.2,1,Drama,4.2
15.6,2,Comedy,5.8
20.4,1,Drama,6.2
6.8,20,Drama,7.8
13.8,1,Adventure,5.1
24.6,1,Drama,6.9
2.8,1,Comedy,6
11.4,20,Adventure,4.8
11.6,1,Action,5.4
3,1,Drama,6.9
2.2,1,Horror,6.5
10.4,1,Fantasy,5.2
1.4,1,Adventure,5.1
22,1,Drama,7.6
8,5,Comedy,4.3
16.6,1,Action,5.5
12.75,20,Drama,7.8
8.6,1,Animation,7.8
8.6,30,Drama,5.9
11.8,3,Drama,6.8
21.6,30,Drama,6.6
15.6,1,Comedy,6.4
10.6,1,Adventure,5.7
17.6,1,Adventure,6.5
16.4,1,Drama,5.8
7.8,1,Fantasy,6.3
5.2,1,Horror,6.4
16.4,30,Adventure,5.5
22,3,Adventure,6
15.6,1,Action,6.6
6.75,1,Action,6.8
24.6,20,Action,6
1,1,Drama,7.7
11.2,1,Drama,6.8
18,10,Adventure,5.6
17.8,8,Drama,6.1
7,20,Drama,7.4
12.8,1,Action,5.5
12.6,1,Drama,6.4
14.25,3,Adventure,6.3
13.6,20,Horror,6.4
14,1,Drama,8.3
10.8,1,Comedy,5.5
13.8,3,Thriller,6.3
12.8,1,Drama,7.4
12.6,1,Adventure,6.5
2.8,1,Drama,7.8
5.8,1,Adventure,4.8
11.4,20,Drama,6.4
22,1,Adventure,5.7
12.4,3,Comedy,5.8
17,8,Fantasy,6.4
14.4,1,Drama,6.1
14.2,1,Fantasy,6.6
2.8,8,Horror,7.5
13.2,15,Drama,7.4
9.2,1,Fantasy,4.4
10.6,1,Comedy,5.5
22,1,Drama,5.5
10.4,20,Fantasy,5.8
14.4,10,Drama,6.2
6.8,1,Action,7.2
13.2,8,Adventure,6.9
22.4,1,Thriller,3.7
6.4,20,Action,7.4
8.6,3,Animation,8
5.4,1,Adventure,7.6
14.4,20,Adventure,6.9
13.8,1,Fantasy,5.6
15.8,1,Drama,6.9
13,20,Drama,6.4
30,8,Adventure,5.5
15.8,20,Action,6.3
8.2,1,Comedy,6.7
23.6,1,Fantasy,6.4
10.6,8,Adventure,7.8
22,10,Adventure,5.4
19.8,1,Adventure,6.7
12,1,Drama,7
14.4,1,Comedy,6.8
24,1,Horror,5.8
16.6,20,Adventure,6.4
10,1,Comedy,6.6
4.8,1,Comedy,5.7
3.2,20,Adventure,6.3
10.4,10.5,Adventure,6.2
12.8,1,Horror,6.8
24,1,Adventure,4.7
8.6,5,Adventure,7.8
9.2,1,Horror,7.1
8.25,10,Drama,6.1
20.2,20,Drama,7.8
1.2,20,Action,6.9
1.25,1,Drama,7.3
13.8,1,Horror,6.2
20.2,20,Fantasy,6.4
8.8,30,Comedy,7.8
23.6,1,Adventure,5.6
22,1,Drama,6.4
20.4,20,Action,5.7
15.8,1,Comedy,6.1
16.6,20,Drama,7.2
16.4,3,Adventure,6.9
14.6,1,Drama,7.6
20,8,Animation,6.7
22.2,1,Drama,7.3
2.8,1,Drama,7.5
16.6,1,Adventure,5.9
2.6,1,Adventure,5.5
18,5,Action,6
26,30,Comedy,6.6
8.6,1,Action,6.1
6.2,30,Drama,6.8
10.4,3,Drama,6.8
9.2,1,Adventure,6.6
9.2,1,Horror,5.1
20.6,2,Animation,6.7
26,20,Drama,6.8
18,1,Fantasy,7
10.8,3,Comedy,5.5
14.8,10,Action,6.6
10.4,1,Drama,6.1
2,1,Comedy,7.7
16.2,3,Drama,6.5
6.4,1,Horror,4.9
12.4,1,Horror,5.5
15.8,20,Action,6
12.4,5,Horror,7.5
9,1,Comedy,7.2
15.6,20,Drama,7.6
15.2,3,Comedy,6.2
16.2,5,Comedy,7.3
16.8,5,Adventure,6.9
20,1,Action,7.4
18.2,1,Drama,6.6
6.8,20,Comedy,6.8
6.4,1,Drama,7.2
18,1,Animation,7.1
5.4,20,Adventure,5.8
13,1,Adventure,6.1
12.2,30,Drama,6.8
10.4,30,Drama,5.3
14.2,1,Drama,7
17.75,30,Action,6
15.25,10,Adventure,6
1,1,Documentary,8.1
5.2,1,Action,7.7
10.4,30,Action,7.3
15.6,10,Drama,7.5
17.6,5,Drama,6.9
22.2,3,Drama,6.9
6.8,30,Fantasy,7.8
17.2,8,Adventure,4.8
16,8,Comedy,6.7
18.4,1,Drama,8
18,3,Adventure,6.9
20,20,Adventure,6.3
6.6,1,Fantasy,8
24,1,Fantasy,5.3
18.2,1,Drama,6.7
18,1,'Science Fiction',5.5
8.6,3,Adventure,6.1
16.2,20,Adventure,7.2
22.2,20,Adventure,5.1
15.8,3,Comedy,6.6
6.6,1,Comedy,6.7
20.4,5,Comedy,6
17.2,1,Comedy,5.8
8,1,Fantasy,7.6
11,1,Drama,4.9
26,10.5,Adventure,7.6
14.6,1,Drama,6.7
26,30,Drama,7.8
24,20,Comedy,6.2
22,8,Drama,7.7
14.2,30,Comedy,5.7
16.2,1,Animation,5
12.8,1,Drama,6.8
8.4,1,Drama,7.5
4.8,1,Drama,7.2
24,1,Comedy,7
12.8,30,Drama,7.1
7.4,3,Drama,6.6
14.8,20,Adventure,5.5
10.6,1,Adventure,4.9
13.2,1,Horror,6.7
30,10,Horror,7.2
24,5,Comedy,6.7
4.25,5,Horror,6.8
9,5,Drama,7.3
20.2,20,Comedy,6.2
9.2,1,Horror,7.3
24.4,20,Adventure,6.6
9.2,1,Horror,3.3
18.3333,1,Drama,6.1
4.8,20,Action,6.3
16.6,5,Drama,7.9
12.6,8,Adventure,7.6
14,8,Drama,8
8.6,8,Action,6.4
13.2,1,Comedy,4.9
14.4,1,Thriller,7
20.2,30,Drama,7.5
20,1,Drama,6.6
24,8,Adventure,5.6
22,10,Drama,6.8
12.4,1,Adventure,5.9
22,8,Drama,5.8
21.6,20,Drama,6.6
15.25,1,Action,5.7
6,1,Adventure,5.9
2.8,1,Drama,7.7
12.8,30,Drama,6.4
15.4,1,Comedy,5.2
11.6,3,Comedy,7.4
14.4,1,Comedy,5.6
4.8,1,Drama,6.3
20.2,3,Drama,5.5
18.4,40,Drama,6.9
14.4,3,Adventure,6.3
7.6,1,Drama,5.5
12.2,1,Action,6.7
7.5,1,Fantasy,6.8
3.6,8,Horror,6.4
9.4,1,Comedy,5.1
12.8,5,Comedy,7
15.8,20,Action,6
8.6,3,Thriller,6.3
1,1,Animation,7.3
12,1,Adventure,4
10.6,30,Drama,7.5
13.2,1,Adventure,5.8
14.2,1,Comedy,6.2
13.2,10,Comedy,7
18.4,30,Drama,6
8.8,3,Fantasy,5.2
21.2,10.5,Adventure,6.3
14.8,1,Adventure,5.9
22.2,3,Adventure,6.3
26,1,Drama,6.4
16.2,30,Action,4.4
13,1,Adventure,5
17.4,30,Adventure,7.3
18,1,Adventure,4.9
20,1,Comedy,5.4
10.4,1,Horror,5.5
9,8,Fantasy,7
10.8,20,Adventure,4.3
40,30,Action,7
13.2,1,Drama,6.4
18.2,1,Horror,4.6
10,20,Adventure,7
4.8,1,Action,7.3
1.25,1,Adventure,7.8
9.2,5,Adventure,7
8.375,1,Adventure,6.6
22.2,20,War,7.9
20.6,1,Fantasy,7.1
2.75,1,Horror,6
1.2,1,Adventure,6.5
24,1,Drama,7.1
10.8,1,Drama,7.5
22,3,Drama,5.6
21,5,Action,6.5
23,1,Comedy,6.5
16,8,Horror,4.7
21,3,Drama,7
16.6,1,Comedy,6.8
20,20,Drama,6.5
22.75,8,Adventure,6.3
8.4,1,Drama,7.2
22,20,Drama,7.9
11.2,30,Fantasy,5.6
11.4,1,Comedy,4.9
7.6,30,Drama,6.7
16.6,1,Drama,7.3
15,20,Adventure,5.4
22.6,5,Action,6.5
14.2,1,Horror,3.7
12.4,1,Comedy,4.3
10.6,1,Adventure,6.8
20.6,20,Comedy,6.6
24,3,Fantasy,4.8
1,1,Horror,6.1
15.2,20,Drama,6.9
1,1,Horror,5.7
6,1,Horror,5.9
1,1,Horror,4.7
18,30,Action,6.8
19.6,20,Adventure,5.7
22,1,Action,6.6
26,20,Drama,6.8
18.4,30,Fantasy,7.2
16,1,Thriller,6.1
14.6,1,Comedy,5.3
18.2,1,Thriller,5.8
15.2,1,Comedy,4
34,1,Adventure,6.5
9.4,1,Adventure,2.3
8.5,1,Drama,6.5
8.8,1,Drama,6.8
13.8,3,Adventure,6.9
15.6,20,Comedy,5.8
10.6,3,Comedy,6.5
15.8,1,Drama,6.9
14.4,1,Drama,6.2
6.4,1,Comedy,4.5
24,20,Action,6.4
20.8,1,Drama,6.8
22,3,Comedy,6.9
14.2,1,Drama,6.5
11.25,1,Comedy,6.8
9.6,20,Fantasy,6.3
